Lon     Lat     H       +-      Hcorr   Tdis    +-      Strike  +-      Dip     +-      AzConv  +-      Vtot    +-      Vc      +-      Age     +-      DesRat  +-      Phi/100 +-      MeanDis Thick   ef      NTot    %Below  MaxDep  Vsource PltPair         ASource Name                            Short
deg     deg     km      -       km      km      -       deg     -       deg     -       deg     +-      km/Ma   -       km/Ma   -       Ma      -       km/Ma   -       km      -       km      km      km      .       .       km      .       .               .       .                               .
120.55  16.33   162.2   25.7    191.4   176.7   40.5    338.0   6.0     64.3    7.6     -63.5   0.4     105.0   1.4     69.0    9.8     59.8    0.4     62.0    11.3    36.3    8.1     16.9    47.6    6.3     54      94      339.4   2       PHIL-SUND       8       South_Philippines               SP
150.90  -5.53   126.6   35.8    159.6   157.7   15.7    76.8    7.2     68.2    3.0     55.3    2.8     82.1    1.7     29.7    6.5     NULL    NULL    27.4    6.0     NULL    NULL    15.7    45.6    6.1     247     98      603.9   3       PCFC-WLK        .       New_Britain                     NB
154.93  -5.83   154.0   20.2    191.0   149.0   38.1    123.8   12.2    70.4    5.3     45.6    0.5     96.8    4.9     93.0    8.6     NULL    NULL    87.5    10.7    NULL    NULL    15.6    40.8    6.2     278     97      519.2   3       PCFC-WLK        .       Solomon                         SO
167.47  -13.8   188.0   16.3    208.0   140.0   5.8     149.7   38.7    71.3    5.7     80.0    0.0     89.1    3.5     74.4    25.9    44.0    16.2    69.7    22.5    32.5    19.4    14.2    32      5.6     342     98      652.9   1       AUST-PCFC       9       North_Vanuatu                   NV
169.83  -20.2   101.8   40.2    147.6   115.0   26.1    134.2   23.3    66.8    1.3     81.5    0.6     76.1    2.6     57.3    21.3    50.0    0.0     52.5    19.1    26.2    9.5     14.4    30      6.1     135     97      294.5   1       AUST-PCFC       9       South_Vanuatu                   SV
-174.87 -19.18  88.1    5.9     110.4   193.0   6.7     18.9    3.6     52.4    0.7     -87.5   0.2     77.3    1.4     73.3    2.4     109.0   0.0     58.1    2.1     63.3    2.2     22.3    56      6.8     467     97      692.7   1       PCFC-AUST       9       Tonga                           TO
-178.47 -30.2   91.4    8.6     121.1   177.2   6.9     11.9    4.7     56.1    2.8     -89.3   0.3     66.3    3.0     64.6    3.7     105.6   2.8     53.5    2.4     56.6    3.9     17.3    48.4    8.3     294     95      695.6   1       PCFC-AUST       9       Kermadec                        KE
176.98  -37.86  123.4   19.6    146.8   244.0   11.2    40.7    7.4     52.0    2.0     -96.4   1.1     45.5    1.5     30.4    5.7     100.0   0.0     24.2    5.1     24.2    5.1     18.7    56      7.2     38      92      302.8   1       PCFC-AUST       9       New_Zealand                     NZ
97.60   3.87    119.3   11.1    138.3   320.7   19.9    134.9   2.7     49.1    1.6     8.4     1.0     51.7    1.2     41.5    2.1     48.3    1.9     31.2    1.3     15.1    0.6     24.6    56.4    6.2     28      93      239.7   2       AUST-SUND       8       North_Sumatra                   NS
99.98   0.08    100.6   9.1     118.3   316.2   11.0    145.9   2.1     46.4    0.8     12.1    1.0     55.5    0.7     40.0    1.8     54.8    3.9     29.0    1.6     15.9    1.7     17.9    36.4    6.1     39      97      230.5   2       AUST-SUND       8       Central_Sumatra                 CS
102.37  -3.38   88.7    9.8     108.0   293.5   9.2     139.6   3.6     50.2    0.5     15.4    0.4     59.1    0.7     48.7    2.5     68.9    2.4     37.4    1.7     25.9    2.1     21.8    49.6    6.5     59      100     265.5   2       AUST-SUND       8       South_Sumatra                   SS
106.68  -6.75   90.3    6.8     109.3   273.2   8.9     122.5   3.7     49.3    0.5     17.0    0.0     63.6    0.8     61.0    1.6     85.5    3.9     46.3    1.2     39.6    2.6     21.8    61.2    6.2     46      98      648.8   2       AUST-SUND       8       Sunda_Strait                    ST
111.76  -7.81   151.9   11.1    172.4   306.7   12.6    101.6   3.0     45.8    1.2     16.0    0.0     68.2    0.8     67.8    1.0     111.2   5.2     48.6    0.6     54.0    2.5     25.8    57.2    7.2     34      100     649.2   2       AUST-SUND       8       Java                            JV
116.47  -8.42   167.4   12.9    186.8   322.1   11.7    95.4    4.2     45.9    3.2     15.0    0.4     71.1    0.7     69.8    0.4     134.9   4.5     50.1    2.4     67.7    5.3     24.0    74      7.3     26      96      636.6   2       AUST-SUND       8       Bali/Lombok                     BL
121.83  -8.76   115.0   6.9     119.6   255.0   17.6    88.8    2.0     54.4    2.2     13.0    0.0     76.1    0.3     73.6    0.5     NULL    NULL    59.8    1.3     NULL    NULL    22.6    48.8    6.1     30      100     644.4   2       AUST-SUND       8       West_Banda_Sea                  WB
129.50  -6.73   141.8   22.0    160.5   280.0   20.8    30.0    15.8    48.0    4.3     11.2    0.5     78.8    0.4     25.3    19.1    NULL    NULL    19.5    15.0    NULL    NULL    20.4    55.6    6.3     47      96      462.9   2       AUST-SUND       8       East_Banda_Sea                  EB
-61.67  16.05   107.8   5.1     120.5   213.5   23.1    322.4   6.0     49.8    0.4     -105.0  0.0     19.3    0.2     17.6    0.8     83.0    0.8     13.4    0.6     11.1    0.5     9.5     33.2    4.1     32      91      147.1   2       CARI-NOAM       8       North_Lesser_Antilles           NA
-61.18  13.33   121.8   4.7     136.2   242.0   21.1    6.6     10.9    42.4    3.9     -105.0  0.0     19.6    0.1     17.9    0.9     86.6    1.7     12.1    1.5     10.4    1.1     11.1    35.2    5.3     11      100     182.8   2       CARI-NOAM       8       South_Lesser_Antilles           SA
-26.45  -57.78  95.7    21.2    133.6   131.4   18.4    -14.7   26.9    64.6    3.4     -118.4  0.4     7.3     0.1     6.0     1.4     59.1    15.3    5.4     1.3     3.5     1.3     20.7    42.4    8.1     154     96      284.9   7       SCOT-SOAM       8       Scotia                          SCO
